,negative,positive,neutral
amber,0,0,1
ambient,0,0,1
ambiguity,0,0,1
ambiguous,1,0,0
ambit,0,0,1
ambition,0,1,0
ambitious,0,0,1
ambulance,0,0,1
ambush,1,0,0
ameliorate,0,1,0
amen,0,1,0
amenable,0,1,0
amend,0,1,0
amendment,0,0,1
amends,0,1,0
amenity,0,1,0
amethyst,0,0,1
amiable,0,1,0
amicable,0,1,0
amid,0,0,1
amidst,0,0,1
ammonia,0,0,1
ammunition,0,0,1
amnesia,1,0,0
amnesty,0,1,0
amorphous,0,0,1
amortization,0,0,1
amount,0,0,1
amour,0,1,0
ampersand,0,0,1
amphetamines,1,0,0
amphibian,0,0,1
amphibious,0,0,1
amphitheater,0,0,1
amplification,0,0,1
amplify,0,0,1
amplitude,0,0,1
amply,0,0,1
amputation,0,0,1
amulet,0,0,1
amuse,0,1,0
amused,0,1,0
amusement,0,1,0
amusing,0,1,0
ana,0,0,1
anaconda,1,0,0
anaesthesia,0,0,1
anaesthetic,0,0,1
anal,1,0,0
analgesic,0,0,1
analogous,0,0,1
analogue,0,0,1
analogy,0,0,1
analysis,0,0,1
analyst,0,1,0
analytic,0,0,1
analyze,0,0,1
analyzer,0,0,1
anarchism,1,0,0
anarchist,1,0,0
anarchy,1,0,0
anastomosis,0,0,1
anathema,1,0,0
anatomic,0,0,1
anatomy,0,0,1
ancestor,0,0,1
ancestral,0,0,1
ancestry,0,0,1
anchor,0,1,0
anchorage,0,1,0
ancient,1,0,0
ancillary,0,0,1
androgen,0,0,1
anemone,0,0,1
anew,0,0,1
angel,0,1,0
angelic,0,1,0
anger,1,0,0
angina,1,0,0
angiography,0,0,1
angle,0,0,1
angling,1,0,0
angry,1,0,0
anguish,1,0,0
angular,0,0,1
anhydrous,0,0,1
animal,0,0,1
animate,0,1,0
animated,0,1,0
animation,0,0,1
animosity,1,0,0
animus,1,0,0
ankle,0,0,1
annals,0,0,1
annex,0,0,1
annexation,0,0,1
annexe,0,0,1
annihilate,1,0,0
annihilated,1,0,0
annihilation,1,0,0
annotate,0,0,1
annotation,0,0,1
announce,0,0,1
announcement,0,0,1
annoy,1,0,0
annoyance,1,0,0
annoying,1,0,0
annuity,0,0,1
annul,1,0,0
annular,0,0,1
annulment,1,0,0
annulus,0,0,1
anointing,0,0,1
anomalous,0,0,1
anomaly,1,0,0
anon,0,0,1
anonymous,1,0,0
answer,0,0,1
answerable,0,0,1
answering,0,0,1
ant,0,0,1
antagonism,1,0,0
antagonist,1,0,0
antagonistic,1,0,0
ante,0,0,1
antecedent,0,0,1
antelope,0,0,1
antenna,0,0,1
anterior,0,0,1
anthem,0,0,1
anthology,0,0,1
anthrax,1,0,0
anthropology,0,0,1
antibiotic,0,0,1
antibiotics,0,1,0
antichrist,1,0,0
anticipation,0,0,1
anticipatory,0,0,1
antidote,0,1,0
antifungal,0,1,0
antimony,0,0,1
antipathy,1,0,0
antiquarian,0,0,1
antiquated,1,0,0
antique,0,1,0
antiquity,0,0,1
antiseptic,0,1,0
antisocial,1,0,0
antithesis,1,0,0
antithetical,0,0,1
antiviral,0,0,1
antler,0,0,1
anvil,0,0,1
anxiety,1,0,0
anxious,1,0,0
aorta,0,0,1
apace,0,0,1
apache,1,0,0
apartment,0,0,1
apathetic,1,0,0
apathy,1,0,0
ape,0,0,1
aperture,0,0,1
apex,0,0,1
aphid,1,0,0
apiece,0,0,1
aplomb,0,1,0
apocalyptic,0,0,1
apologetic,0,1,0
apologist,0,0,1
apologize,0,1,0
apology,0,1,0
apostasy,0,0,1
apostate,0,0,1
apostle,0,1,0
apostolic,0,0,1
apostrophe,0,0,1
appalling,1,0,0
apparatus,0,0,1
apparel,0,0,1
apparently,0,0,1
apparition,0,0,1
appeal,0,0,1
appearance,0,0,1
appease,0,0,1
appellant,0,0,1
append,0,0,1
appendage,0,0,1
appendicitis,1,0,0
appendix,0,0,1
appetite,0,0,1
appetizer,0,0,1
applause,0,1,0
apple,0,0,1
appliance,0,0,1
appliances,0,0,1
applicability,0,0,1
applicable,0,0,1
applicant,0,0,1
application,0,0,1
apply,0,0,1
appoint,0,0,1
appointment,0,0,1
appointments,0,0,1
apportion,0,0,1
apportionment,0,0,1
appraise,0,0,1
appreciable,0,0,1
appreciation,0,1,0
apprehend,0,0,1
apprehension,1,0,0
apprehensive,1,0,0
apprentice,0,0,1
apprenticeship,0,0,1
approach,0,0,1
approaching,0,0,1
approbation,0,1,0
appropriation,1,0,0
approval,0,1,0
approve,0,1,0
approving,0,1,0
approximate,0,0,1
approximately,0,0,1
approximating,0,0,1
approximation,0,0,1
appurtenances,0,0,1
apron,0,0,1
apt,0,1,0
aptitude,0,1,0
aqua,0,0,1
aquamarine,0,0,1
aquarium,0,0,1
aquatic,0,0,1
aqueduct,0,0,1
aqueous,0,0,1
arable,0,0,1
arbiter,0,0,1
arbitrate,0,0,1
arbitration,0,0,1
arbitrator,0,0,1
arbor,0,0,1
arc,0,0,1
arcade,0,0,1
arch,0,0,1
archaeological,0,0,1
archaeologist,0,0,1
archaeology,0,1,0
archaic,1,0,0
archbishop,0,0,1
arched,0,0,1
archer,0,0,1
archery,0,0,1
archetype,0,0,1
archipelago,0,0,1
architect,0,0,1
architecture,0,0,1
archive,0,0,1
arctic,0,0,1
ardent,0,1,0
ardor,0,1,0
arduous,1,0,0
area,0,0,1
arena,0,0,1
areola,0,0,1
argent,0,0,1
argue,1,0,0
argument,1,0,0
argumentation,0,0,1
argumentative,1,0,0
arguments,0,0,1
arid,1,0,0
aristocracy,0,1,0
aristocrat,0,0,1
aristocratic,0,1,0
arithmetic,0,0,1
ark,0,0,1
arm,0,0,1
armada,0,0,1
armament,0,0,1
armaments,1,0,0
armature,0,0,1
armed,1,1,0
armor,0,1,0
armored,0,0,1
armory,0,0,1
arms,0,0,1
army,0,0,1
aroma,0,1,0
arousal,0,0,1
arouse,0,1,0
arraignment,1,0,0
arrange,0,0,1
arranged,0,0,1
arrangement,0,0,1
array,0,1,0
arrears,1,0,0
arrest,1,0,0
arrival,0,0,1
arrive,0,0,1
arrogance,1,0,0
arrogant,1,0,0
arrow,0,0,1
arsenal,0,0,1
arsenic,1,0,0
arson,1,0,0
art,0,1,0
artery,0,0,1
artful,0,0,1
arthropod,0,0,1
artichoke,0,0,1
article,0,0,1
articles,0,0,1
articulate,0,1,0
articulation,0,1,0
artifice,0,0,1
artillery,1,0,0
artisan,0,1,0
artist,0,0,1
artiste,0,1,0
artistic,0,1,0
artists,0,0,1
ascend,0,0,1
ascendancy,0,1,0
ascension,0,0,1
ascent,0,1,0
ascertain,0,0,1
ascertained,0,0,1
ascetic,0,0,1
ash,1,0,0
ashamed,1,0,0
ashes,1,0,0
asleep,0,0,1
asp,0,0,1
aspartame,0,0,1
aspect,0,0,1
aspects,0,0,1
asphalt,0,0,1
aspiration,0,1,0
aspire,0,1,0
aspiring,0,1,0
ass,1,0,0
assail,1,0,0
assailant,1,0,0
assassin,1,0,0
assassinate,1,0,0
assassination,1,0,0
assault,1,0,0
assay,0,0,1
assemblage,0,0,1
assemble,0,0,1
assembled,0,0,1
assembly,0,1,0
assent,0,1,0
assert,0,0,1
asserting,0,1,0
assertion,0,0,1
assess,0,0,1
assessment,0,0,1
assessor,0,0,1
assets,0,1,0
asshole,1,0,0
assign,0,0,1
assignee,0,0,1
assignment,0,0,1
assimilate,0,0,1
assimilation,0,0,1
assist,0,1,0
assistance,0,1,0
assistant,0,0,1
associate,0,1,0
association,0,0,1
assorted,0,0,1
assortment,0,0,1
assuage,0,1,0
assumed,0,0,1
assuming,0,0,1
assumption,0,0,1
assurance,0,1,0
assure,0,0,1
assured,0,1,0
assuredly,0,0,1
asterisk,0,0,1
asteroids,0,0,1
astigmatism,0,0,1
astonishingly,0,1,0
astonishment,0,1,0
astral,0,0,1
astray,1,0,0
astringent,1,0,0
astrologer,0,1,0
astrology,0,0,1
astronaut,0,1,0
astronomer,0,1,0
astronomy,0,0,1
astute,0,1,0
asunder,0,0,1
asylum,1,0,0
asymmetric,0,0,1
asymmetry,0,0,1
asymptotic,0,0,1
atelier,0,0,1
atheism,1,0,0
atheist,0,0,1
atheistic,0,0,1
atherosclerosis,1,0,0
athlete,0,1,0
athletic,0,1,0
athleticism,0,0,1
athletics,0,0,1
atlas,0,0,1
atmosphere,0,0,1
atmospheric,0,0,1
atoll,0,0,1
atom,0,1,0
atomic,0,0,1
atone,0,1,0
atonement,0,1,0
atrium,0,0,1
atrocious,1,0,0
atrocity,1,0,0
atrophy,1,0,0
attach,0,0,1
attachment,0,1,0
attack,1,0,0
attacking,1,0,0
attain,0,0,1
attainable,0,1,0
attainment,0,1,0
attempt,0,0,1
attendance,0,0,1
attendant,0,1,0
attention,0,1,0
attentive,0,1,0
attenuate,0,0,1
attenuated,1,0,0
attenuation,1,0,0
attest,0,1,0
attestation,0,0,1
attic,0,0,1
attire,0,0,1
attitude,0,0,1
attorney,0,1,0
attraction,0,1,0
attractiveness,0,1,0
attributable,0,0,1
attribute,0,0,1
attribution,0,0,1
attrition,0,0,1
auburn,0,0,1
auction,0,0,1
auctioneer,0,0,1
audacious,0,0,1
audacity,1,0,0
audible,0,0,1
audience,0,0,1
audit,0,0,1
audition,0,0,1
auditor,0,0,1
auditorium,0,0,1
auditory,0,0,1
aught,0,0,1
augment,0,1,0
augmentation,0,0,1
august,0,1,0
aunt,0,1,0
aura,0,1,0
aurora,0,0,1
auspices,0,0,1
auspicious,0,1,0
austere,1,0,0
austerity,1,0,0
authentic,0,1,0
authenticate,0,0,1
authentication,0,0,1
authenticity,0,1,0
author,0,1,0
authoritative,0,1,0
authority,0,1,0
authorization,0,1,0
authorize,0,0,1
authorized,0,1,0
authorship,0,0,1
auto,0,0,1
autobiography,0,0,1
autocratic,1,0,0
autograph,0,0,1
automatic,0,0,1
automobile,0,0,1
autonomy,0,0,1
autopsy,1,0,0
autumn,0,0,1
auxiliary,0,0,1
avail,0,0,1
avalanche,1,0,0
avarice,1,0,0
avatar,0,1,0
avenger,1,0,0
avenue,0,0,1
aver,0,0,1
average,0,0,1
averse,1,0,0
aversion,1,0,0
avert,0,0,1
aviary,0,0,1
aviation,0,0,1
aviator,0,0,1
avid,0,0,1
avocado,0,0,1
avoid,1,0,0
avoidance,1,0,0
avoiding,0,0,1
await,0,0,1
awake,0,0,1
awaken,0,0,1
award,0,1,0
awe,0,0,1
awful,1,0,0
awkwardness,1,0,0
awning,0,0,1
awry,1,0,0
axial,0,0,1
axiom,0,0,1
axiomatic,0,0,1
axis,0,0,1
axle,0,0,1
ay,0,1,0
aye,0,1,0
azimuth,0,0,1
azure,0,0,1
babble,1,0,0
babbling,1,0,0
baboon,1,0,0
baby,0,1,0
babysitter,0,0,1
baccalaureate,0,1,0
baccarat,0,0,1
bachelor,0,0,1
back,0,0,1
backbone,0,1,0
backer,0,0,1
backfire,0,0,1
backgammon,0,0,1
background,0,0,1
backhoe,0,0,1
backpacker,0,0,1
backtrack,0,0,1
backward,1,0,0
backwards,1,0,0
backwater,1,0,0
bacteria,1,0,0
bacterium,1,0,0
bad,1,0,0
badge,0,0,1
badger,1,0,0
badly,1,0,0
badness,1,0,0
baffle,0,0,1
bag,0,0,1
baggage,0,0,1
baggy,0,0,1
bagpipes,0,0,1
bail,0,0,1
bailiff,1,0,0
bait,1,0,0
bake,0,0,1
bakery,0,0,1
baking,0,0,1
bal,0,0,1
balance,0,1,0
balanced,0,1,0
balcony,0,0,1
bald,0,0,1
bale,1,0,0
balk,1,0,0
ball,0,0,1
ballad,0,1,0
ballast,0,0,1
ballet,0,1,0
balloon,0,0,1
ballot,0,1,0
ballroom,0,0,1
balm,1,1,0
balmy,0,0,1
balsam,0,1,0
balsamic,0,0,1
ban,1,0,0
banana,0,0,1
band,0,0,1
bandage,0,0,1
bandit,1,0,0
bandwagon,0,0,1
bane,1,0,0
bang,1,0,0
banger,1,0,0
banish,1,0,0
banished,1,0,0
banishment,1,0,0
banjo,0,0,1
bank,0,0,1
banker,0,0,1
bankrupt,1,0,0
bankruptcy,1,0,0
banner,0,0,1
banquet,0,1,0
banshee,1,0,0
banter,0,0,1
baptism,0,1,0
baptismal,0,1,0
bar,0,0,1
barb,1,0,0
barbarian,1,0,0
barbaric,1,0,0
barbarism,1,0,0
barbecue,0,0,1
barbed,0,0,1
bard,0,1,0
bareback,0,0,1
barefoot,0,0,1
barely,0,0,1
barf,0,0,1
bargain,0,1,0
barge,0,0,1
baritone,0,0,1
bark,1,0,0
barn,0,0,1
barney,0,0,1
barometer,0,0,1
baron,0,0,1
baroque,0,0,1
barrack,0,0,1
barred,1,0,0
barrel,0,0,1
barren,1,0,0
barricade,1,0,0
barrier,1,0,0
barring,0,0,1
barrister,0,0,1
barrow,0,0,1
bartender,0,0,1
barter,0,0,1
base,0,0,1
baseball,0,0,1
baseboard,0,0,1
baseless,1,0,0
basement,0,0,1
basilica,0,0,1
basin,0,0,1
basis,0,0,1
bask,0,0,1
basket,0,0,1
basketball,0,1,0
bass,0,0,1
basso,0,0,1
bassoon,0,0,1
bastard,1,0,0
bastion,0,1,0
bat,0,0,1
batch,0,0,1
batching,0,0,1
bate,0,0,1
bath,0,1,0
bathe,0,0,1
bathroom,0,0,1
bathymetry,0,0,1
baton,0,0,1
battalion,0,0,1
batter,1,0,0
battered,1,0,0
battery,1,0,0
battle,1,0,0
battled,1,0,0
battlefield,1,0,0
bawdy,1,0,0
bay,0,0,1
bayonet,1,0,0
bayou,0,0,1
bazaar,0,0,1
beach,0,0,1
beacon,0,0,1
bead,0,0,1
beading,0,0,1
beads,0,0,1
beagle,0,0,1
beak,0,0,1
beaker,0,0,1
beam,0,1,0
beaming,0,1,0
bear,0,0,1
beard,0,0,1
bearded,0,0,1
bearer,1,0,0
bearing,0,0,1
bearings,0,0,1
bearish,0,0,1
beast,1,0,0
beastly,1,0,0
beat,0,0,1
beating,1,0,0
beau,0,0,1
beautification,0,1,0
beautiful,0,1,0
beautify,0,1,0
beauty,0,1,0
beck,0,0,1
beckon,0,0,1
bed,0,0,1
bedding,0,0,1
bedrock,0,1,0
bedroom,0,0,1
bedtime,0,0,1
bee,0,0,1
beef,0,0,1
beehive,0,0,1
beer,0,1,0
beeswax,0,0,1
beetle,0,0,1
befall,1,0,0
befitting,0,1,0
befriend,0,1,0
beg,1,0,0
beggar,1,0,0
begging,1,0,0
begin,0,0,1
beginner,0,0,1
beginning,0,0,1
begun,0,0,1
behavior,0,0,1
behemoth,1,0,0
behest,0,0,1
behold,0,0,1
beholden,1,0,0
beholder,0,0,1
belated,1,0,0
belay,0,0,1
belief,0,0,1
believed,0,0,1
believer,0,0,1
believing,0,1,0
belittle,1,0,0
bell,0,0,1
belligerent,1,0,0
bellow,0,0,1
bellows,0,0,1
belly,0,0,1
belongings,0,0,1
belt,1,0,0
bemused,0,0,1
bench,0,0,1
bend,0,0,1
bender,1,0,0
bending,0,0,1
beneath,0,0,1
benefactor,0,1,0
beneficial,0,1,0
beneficiary,0,0,1
benefit,0,1,0
benevolence,0,1,0
benign,0,1,0
bent,0,0,1
benzene,0,0,1
bequeath,0,0,1
bequest,0,0,1
bereaved,1,0,0
bereavement,1,0,0
bereft,1,0,0
bergamot,0,0,1
berlin,0,0,1
berserk,1,0,0
berth,0,1,0
beseech,0,0,1
beset,0,0,1
bestial,1,0,0
bestow,0,0,1
bet,0,0,1
betray,1,0,0
betrayal,1,0,0
betrothed,0,1,0
betterment,0,1,0
betting,0,0,1
betty,0,0,1
bevel,0,0,1
beverage,0,1,0
bevy,0,0,1
beware,1,0,0
bewildered,1,0,0
bewilderment,0,0,1
bias,1,0,0
biased,1,0,0
bib,0,0,1
biblical,0,1,0
bibliography,0,0,1
bickering,1,0,0
bicolor,0,0,1
bicycle,0,0,1
bid,0,0,1
bidder,0,0,1
bidding,0,0,1
biennial,0,0,1
bier,1,0,0
bifurcation,0,0,1
big,0,0,1
bigot,1,0,0
bigoted,1,0,0
bike,0,0,1
bilateral,0,0,1
bilayer,0,0,1
bile,1,0,0
bilge,0,0,1
bilingual,0,1,0
bill,0,0,1
billet,0,0,1
billiards,0,0,1
billion,0,0,1
billy,0,0,1
bimonthly,0,0,1
bin,0,0,1
binary,0,0,1
bind,0,0,1
bindery,0,0,1
binding,0,0,1
bing,0,0,1
binocular,0,0,1
binoculars,0,0,1
binomial,0,0,1
biogenesis,0,0,1
biographer,0,0,1
biography,0,0,1
biology,0,0,1
biopsy,1,0,0
biosphere,0,0,1
bipartite,0,0,1
birch,1,0,0
bird,0,0,1
birth,0,1,0
birthday,0,1,0
birthplace,1,0,0
birthright,0,0,1
bis,0,0,1
bisexual,0,0,1
bishop,0,0,1
bison,0,0,1
bit,0,0,1
bitch,1,0,0
bite,1,0,0
bitterly,1,0,0
bitterness,1,0,0
bitumen,0,0,1
biweekly,0,0,1
bizarre,1,0,0
black,1,0,0
blackberry,0,0,1
blackboard,0,0,1
blackjack,1,0,0
blackmail,1,0,0
blackness,1,0,0
blacksmith,0,0,1
bladder,0,0,1
blade,0,0,1
blame,1,0,0
blameless,0,1,0
bland,1,0,0
blank,0,0,1
blanket,0,0,1
blasphemous,1,0,0
blasphemy,1,0,0
blast,1,0,0
blatant,1,0,0
blather,1,0,0
blaze,1,0,0
blazing,0,0,1
bleach,0,0,1
bleak,1,0,0
bleeding,1,0,0
blemish,1,0,0
blend,0,0,1
blending,0,0,1
bless,0,1,0
blessed,0,1,0
blessing,0,1,0
blessings,0,1,0
blight,1,0,0
blighted,1,0,0
blind,1,0,0
blinded,1,0,0
blindfold,0,0,1
blindfolded,0,0,1
blindly,1,0,0
blindness,1,0,0
blink,0,0,1
bliss,0,1,0
blissful,0,1,0
blister,1,0,0
blitz,0,0,1
blizzard,0,0,1
bloated,1,0,0
blob,1,0,0
block,0,0,1
blockade,1,0,0
blond,0,0,1
blood,0,0,1
bloodhound,0,0,1
bloodless,0,1,0
bloodshed,1,0,0
bloodthirsty,1,0,0
bloody,1,0,0
bloom,0,1,0
blossom,0,1,0
blot,1,0,0
blouse,0,0,1
blower,1,0,0
blowing,0,0,1
blown,0,0,1
blowout,1,0,0
blue,0,0,1
blues,1,0,0
bluff,1,0,0
bluish,0,0,1
blunder,1,0,0
blunt,0,0,1
blur,1,0,0
blurred,1,0,0
blush,1,0,0
blushing,0,0,1
boa,0,0,1
boar,0,0,1
board,0,0,1
boarder,0,0,1
boarding,0,0,1
boards,0,0,1
boast,1,1,0
boasting,1,0,0
boat,0,0,1
boating,0,0,1
bobbin,0,0,1
bode,0,0,1
bodice,0,0,1
bodily,0,0,1
body,0,0,1
bodyguard,0,1,0
bog,1,0,0
bogus,1,0,0
boil,1,0,0
boiler,0,0,1
boilerplate,1,0,0
boiling,0,0,1
boisterous,1,1,0
bold,0,1,0
boldness,0,1,0
bolster,0,1,0
bolt,0,0,1
bolus,0,0,1
bomb,1,0,0
bombard,1,0,0
bombardment,1,0,0
bombed,1,0,0
bomber,0,0,1
bonanza,0,1,0
